2025-12-04T10:39:08.495+0800	INFO	monitor/main.go:44	🔄 发现历史记录，继续扫描	{"start": 23933976}
2025-12-04T10:39:08.835+0800	INFO	monitor/main.go:71	开始扫描区间	{"from": 23933976, "to": 23933986}
2025-12-04T10:39:10.210+0800	INFO	core/scanner.go:58	扫描完成	{"start": 23933976, "end": 23933986, "抓取到的交易数": 1037}
2025-12-04T10:39:10.228+0800	INFO	core/scanner.go:79	✅ 已存入 DB	{"Tx": "0x76186d04f203d60a23d2967d8ecd4ff49176d9eda03f4194fee53d5370d5e0d1", "Amount": "25303159"}
2025-12-04T10:39:10.239+0800	INFO	core/scanner.go:79	✅ 已存入 DB	{"Tx": "0x76186d04f203d60a23d2967d8ecd4ff49176d9eda03f4194fee53d5370d5e0d1", "Amount": "49630000"}
2025-12-04T10:39:10.249+0800	INFO	core/scanner.go:79	✅ 已存入 DB	{"Tx": "0x76186d04f203d60a23d2967d8ecd4ff49176d9eda03f4194fee53d5370d5e0d1", "Amount": "3699630000"}
2025-12-04T10:39:10.263+0800	INFO	core/scanner.go:79	✅ 已存入 DB	{"Tx": "0x76186d04f203d60a23d2967d8ecd4ff49176d9eda03f4194fee53d5370d5e0d1", "Amount": "629630000"}
2025-12-04T10:39:10.271+0800	INFO	core/scanner.go:79	✅ 已存入 DB	{"Tx": "0xc788f09046a006bfe3e8d368dfe0b9621850669ad43bcd02d0d8647f88aa5c6d", "Amount": "7996876"}
2025-12-04T10:39:10.281+0800	INFO	core/scanner.go:79	✅ 已存入 DB	{"Tx": "0xc788f09046a006bfe3e8d368dfe0b9621850669ad43bcd02d0d8647f88aa5c6d", "Amount": "395"}
2025-12-04T10:39:10.292+0800	INFO	core/scanner.go:79	✅ 已存入 DB	{"Tx": "0xc788f09046a006bfe3e8d368dfe0b9621850669ad43bcd02d0d8647f88aa5c6d", "Amount": "7996481"}
2025-12-04T10:39:10.308+0800	INFO	core/scanner.go:79	✅ 已存入 DB	{"Tx": "0xc788f09046a006bfe3e8d368dfe0b9621850669ad43bcd02d0d8647f88aa5c6d", "Amount": "7996481"}
2025-12-04T10:39:10.319+0800	INFO	core/scanner.go:79	✅ 已存入 DB	{"Tx": "0x8160931cee7bda3dc43a3a66daef7259e9267c4121ae70626e0a80068239edaa", "Amount": "486164074"}
2025-12-04T10:39:10.332+0800	INFO	core/scanner.go:79	✅ 已存入 DB	{"Tx": "0x8160931cee7bda3dc43a3a66daef7259e9267c4121ae70626e0a80068239edaa", "Amount": "5523950743"}
2025-12-04T10:39:10.338+0800	INFO	core/scanner.go:79	✅ 已存入 DB	{"Tx": "0xc10a95c2d9063078345dc7f2ddb329b135b05bec66bc0c192558e1ac5460a506", "Amount": "95050000"}
2025-12-04T10:39:10.348+0800	INFO	core/scanner.go:79	✅ 已存入 DB	{"Tx": "0xc10a95c2d9063078345dc7f2ddb329b135b05bec66bc0c192558e1ac5460a506", "Amount": "1340100000"}
2025-12-04T10:39:10.354+0800	INFO	core/scanner.go:79	✅ 已存入 DB	{"Tx": "0xc10a95c2d9063078345dc7f2ddb329b135b05bec66bc0c192558e1ac5460a506", "Amount": "2532420000"}
2025-12-04T10:39:10.361+0800	INFO	core/scanner.go:79	✅ 已存入 DB	{"Tx": "0xc10a95c2d9063078345dc7f2ddb329b135b05bec66bc0c192558e1ac5460a506", "Amount": "1957490000"}
2025-12-04T10:39:10.371+0800	INFO	core/scanner.go:79	✅ 已存入 DB	{"Tx": "0xc10a95c2d9063078345dc7f2ddb329b135b05bec66bc0c192558e1ac5460a506", "Amount": "1155450000"}
2025-12-04T10:39:10.378+0800	INFO	core/scanner.go:79	✅ 已存入 DB	{"Tx": "0xc10a95c2d9063078345dc7f2ddb329b135b05bec66bc0c192558e1ac5460a506", "Amount": "2125780000"}
2025-12-04T10:39:10.384+0800	INFO	core/scanner.go:79	✅ 已存入 DB	{"Tx": "0xc10a95c2d9063078345dc7f2ddb329b135b05bec66bc0c192558e1ac5460a506", "Amount": "4068490000"}
2025-12-04T10:39:10.394+0800	INFO	core/scanner.go:79	✅ 已存入 DB	{"Tx": "0xc10a95c2d9063078345dc7f2ddb329b135b05bec66bc0c192558e1ac5460a506", "Amount": "1155480000"}
2025-12-04T10:39:10.402+0800	INFO	core/scanner.go:79	✅ 已存入 DB	{"Tx": "0xc10a95c2d9063078345dc7f2ddb329b135b05bec66bc0c192558e1ac5460a506", "Amount": "497490000"}
2025-12-04T10:39:10.411+0800	INFO	core/scanner.go:79	✅ 已存入 DB	{"Tx": "0xc10a95c2d9063078345dc7f2ddb329b135b05bec66bc0c192558e1ac5460a506", "Amount": "1846580000"}
2025-12-04T10:39:10.419+0800	INFO	core/scanner.go:79	✅ 已存入 DB	{"Tx": "0xc10a95c2d9063078345dc7f2ddb329b135b05bec66bc0c192558e1ac5460a506", "Amount": "2637490000"}
2025-12-04T10:39:10.430+0800	INFO	core/scanner.go:79	✅ 已存入 DB	{"Tx": "0xc10a95c2d9063078345dc7f2ddb329b135b05bec66bc0c192558e1ac5460a506", "Amount": "2093240000"}
2025-12-04T10:39:10.439+0800	INFO	core/scanner.go:79	✅ 已存入 DB	{"Tx": "0xc10a95c2d9063078345dc7f2ddb329b135b05bec66bc0c192558e1ac5460a506", "Amount": "197490000"}
2025-12-04T10:39:10.449+0800	INFO	core/scanner.go:79	✅ 已存入 DB	{"Tx": "0xc10a95c2d9063078345dc7f2ddb329b135b05bec66bc0c192558e1ac5460a506", "Amount": "2497490000"}
2025-12-04T10:39:10.456+0800	INFO	core/scanner.go:79	✅ 已存入 DB	{"Tx": "0xc10a95c2d9063078345dc7f2ddb329b135b05bec66bc0c192558e1ac5460a506", "Amount": "249050000"}
2025-12-04T10:39:10.463+0800	INFO	core/scanner.go:79	✅ 已存入 DB	{"Tx": "0xc10a95c2d9063078345dc7f2ddb329b135b05bec66bc0c192558e1ac5460a506", "Amount": "3985880000"}
